,Seoul,Incheon,Gyeonggi,Daejeon,Sejong,Chungbuk,Chungnam,Gwangju,Jeonbuk,Jeonnam,Daegu,Gyeongbuk,Busan,Ulsan,Gyeongnam,Gangwon,Jeju
Seoul,0.0,27.06043067415112,32.57965667928062,139.97185980158434,123.92649548989728,113.02722880348497,104.46668985775874,267.84091596898577,194.52524819964228,309.3149988593188,237.62127130897517,174.62250560527698,325.0515224306,306.94948728602407,300.94186372732275,74.98845034751209,455.48491710275334
Incheon,27.06043067415112,0.0,33.62029150970454,136.97564510984273,120.2739778401048,114.80012167582524,88.63438560925158,255.62924816270072,185.40264494117682,294.33877954778745,244.24749896868795,187.42271568910664,330.3356632246294,315.6966570634547,304.11410216453635,102.04230159830841,441.50168353879155
Gyeonggi,32.57965667928062,33.62029150970454,0.0,108.06132515135808,91.7852282109681,82.90979842154084,74.68391726435505,235.56481830583292,161.9572761340496,277.75671705817473,211.09087320446898,154.01330840943294,297.60868131381136,282.2152311549882,272.1123822941839,92.94514813936308,423.49015144689054
Daejeon,139.97185980158434,136.97564510984273,108.06132515135808,0.0,16.765355433922444,33.17161771391097,72.2920792895184,140.83711119283248,63.939830943490335,189.86375489160977,121.6186384289477,103.33841982446536,200.50105940345006,195.473718244173,170.89933315774613,173.40661586986184,328.26973065386824
Sejong,123.92649548989728,120.2739778401048,91.7852282109681,16.765355433922444,0.0,25.052197802182402,58.51963567637129,151.99245612345518,75.12255782157924,199.50205860774219,135.87993496748183,109.22771623189477,216.3890058489919,209.8143529595305,187.25116340880174,161.06964704287077,340.2996411601002
Chungbuk,113.02722880348497,114.80012167582524,82.90979842154084,33.17161771391097,25.052197802182402,0.0,73.06257774929306,173.9599866074156,96.98328570126387,222.63803489794276,130.9338726728846,90.78373991846307,215.78192560093515,203.9863589624121,189.35904610127764,140.50848063948519,361.4196104232731
Chungnam,104.46668985775874,88.63438560925158,74.68391726435505,72.2920792895184,58.51963567637129,73.06257774929306,0.0,167.4779435411454,101.1428734734696,205.81989676625648,193.85010022005105,163.82934010934042,271.7415726254832,267.74326345882355,240.8508083882041,165.32715412775053,352.87406301184626
Gwangju,267.84091596898577,255.62924816270072,235.56481830583292,140.83711119283248,151.99245612345518,173.9599866074156,167.4779435411454,0.0,77.03252817145075,52.08555150254952,177.07173562395627,216.80868727222253,202.1317867286091,227.05295927458334,167.46471054810888,313.0425100875333,188.61796627019638
Jeonbuk,194.52524819964228,185.40264494117682,161.9572761340496,63.939830943490335,75.12255782157924,96.98328570126387,101.1428734734696,77.03252817145075,0.0,126.09453009991545,134.68671175726416,150.895940005202,191.71003760925086,201.36798471977534,157.2243109263039,236.17690017818083,265.1771125353179
Jeonnam,309.3149988593188,294.33877954778745,277.75671705817473,189.86375489160977,199.50205860774219,222.63803489794276,205.81989676625648,52.08555150254952,126.09453009991545,0.0,226.6946750478911,268.89419481334465,241.31308926153937,271.05464541744885,208.2830050079836,359.63410527884423,147.60386884147448
Daegu,237.62127130897517,244.24749896868795,211.09087320446898,121.6186384289477,135.87993496748183,130.9338726728846,193.85010022005105,177.07173562395627,134.68671175726416,226.6946750478911,0.0,78.81624742525737,88.02128545607083,73.93640484955709,70.92300068026157,236.99514406998807,327.3518155693185
Gyeongbuk,174.62250560527698,187.42271568910664,154.01330840943294,103.33841982446536,109.22771623189477,90.78373991846307,163.82934010934042,216.80868727222253,150.895940005202,268.89419481334465,78.81624742525737,0.0,163.49805172787953,136.1147301541125,149.73843027753105,160.9931646954268,388.8532860191859
Busan,325.0515224306,330.3356632246294,297.60868131381136,200.50105940345006,216.3890058489919,215.78192560093515,271.7415726254832,202.1317867286091,191.71003760925086,241.31308926153937,88.02128545607083,163.49805172787953,0.0,45.37056618150021,35.39605825912898,323.9579946763002,302.18203756187916
Ulsan,306.94948728602407,315.6966570634547,282.2152311549882,195.473718244173,209.8143529595305,203.9863589624121,267.74326345882355,227.05295927458334,201.36798471977534,271.05464541744885,73.93640484955709,136.1147301541125,45.37056618150021,0.0,65.40310288022526,296.4995186908855,344.08288949869615
Gyeongnam,300.94186372732275,304.11410216453635,272.1123822941839,170.89933315774613,187.25116340880174,189.35904610127764,240.8508083882041,167.46471054810888,157.2243109263039,208.2830050079836,70.92300068026157,149.73843027753105,35.39605825912898,65.40310288022526,0.0,306.6803928164228,279.90736443789604
Gangwon,74.98845034751209,102.04230159830841,92.94514813936308,173.40661586986184,161.06964704287077,140.50848063948519,165.32715412775053,313.0425100875333,236.17690017818083,359.63410527884423,236.99514406998807,160.9931646954268,323.9579946763002,296.4995186908855,306.6803928164228,0.0,501.3345022740815
Jeju,455.48491710275334,441.50168353879155,423.49015144689054,328.26973065386824,340.2996411601002,361.4196104232731,352.87406301184626,188.61796627019638,265.1771125353179,147.60386884147448,327.3518155693185,388.8532860191859,302.18203756187916,344.08288949869615,279.90736443789604,501.3345022740815,0.0
