,Seoul,Incheon,Gyeonggi,Daejeon,Sejong,Chungbuk,Chungnam,Gwangju,Jeonbuk,Jeonnam,Daegu,Gyeongbuk,Busan,Ulsan,Gyeongnam,Gangwon,Jeju
Seoul,0.0,27.060468052,32.642549642,139.972053139,123.926666664,113.027384923,104.466834153,267.841285927,194.525516889,309.315426103,237.621599525,174.622746804,325.051971411,306.949911263,300.942279406,74.988553926,455.485546245
Incheon,27.060468052,0.0,33.572806731,136.975834309,120.27414397,114.800280245,88.634508036,255.629601253,185.40290103,294.339186106,244.247836338,187.422974568,330.336119504,315.697093122,304.114522225,102.042442545,441.502293367
Gyeonggi,32.642549642,33.572806731,0.0,108.028124935,91.746750055,82.907243594,74.571679089,235.485779397,161.891420531,277.665224083,211.115667728,154.076596329,297.624930241,282.251038475,272.116948385,93.076184109,423.405857164
Daejeon,139.972053139,136.975834309,108.028124935,0.0,16.765378591,33.171663533,72.292179144,140.837305725,63.939919261,189.864017143,121.618806416,103.338562562,200.501336347,195.473988244,170.899569214,173.406855389,328.270184079
Sejong,123.926666664,120.27414397,91.746750055,16.765378591,0.0,25.052232406,58.519716507,151.992666064,75.122661585,199.502334172,135.880122653,109.227867104,216.389304738,209.814642767,187.251422051,161.069869522,340.300111202
Chungbuk,113.027384923,114.800280245,82.907243594,33.171663533,25.052232406,0.0,73.062678668,173.960226891,96.98341966,222.638342419,130.934053526,90.783865314,215.782223652,203.98664072,189.359307655,140.508674718,361.420109637
Chungnam,104.466834153,88.634508036,74.571679089,72.292179144,58.519716507,73.062678668,0.0,167.478174872,101.143013178,205.820181057,193.850367977,163.8295664,271.741947971,267.743633282,240.851141066,165.327382487,352.874550422
Gwangju,267.841285927,255.629601253,235.485779397,140.837305725,151.992666064,173.960226891,167.478174872,0.0,77.032634573,52.085623446,177.071980206,216.808986741,202.132065925,227.053272893,167.46494186,313.04294248,188.6182268
Jeonbuk,194.525516889,185.40290103,161.891420531,63.939919261,75.122661585,96.98341966,101.143013178,77.032634573,0.0,126.094704269,134.686897794,150.896148432,191.71030241,201.368262861,157.224528094,236.1772264,265.177478814
Jeonnam,309.315426103,294.339186106,277.665224083,189.864017143,199.502334172,222.638342419,205.820181057,52.085623446,126.094704269,0.0,226.694988172,268.894566226,241.313422577,271.055019814,208.283292701,359.634602027,147.604072721
Daegu,237.621599525,244.247836338,211.115667728,121.618806416,135.880122653,130.934053526,193.850367977,177.071980206,134.686897794,226.694988172,0.0,78.816356291,88.021407036,73.936506975,70.923098643,236.995471422,327.352267727
Gyeongbuk,174.622746804,187.422974568,154.076596329,103.338562562,109.227867104,90.783865314,163.8295664,216.808986741,150.896148432,268.894566226,78.816356291,0.0,163.498277561,136.114918164,149.738637105,160.993387069,388.853823126
Busan,325.051971411,330.336119504,297.624930241,200.501336347,216.389304738,215.782223652,271.741947971,202.132065925,191.71030241,241.313422577,88.021407036,163.498277561,0.0,45.37062885,35.39610715,323.958442146,302.182454953
Ulsan,306.949911263,315.697093122,282.251038475,195.473988244,209.814642767,203.98664072,267.743633282,227.053272893,201.368262861,271.055019814,73.936506975,136.114918164,45.37062885,0.0,65.403193219,296.499928233,344.083364766
Gyeongnam,300.942279406,304.114522225,272.116948385,170.899569214,187.251422051,189.359307655,240.851141066,167.46494186,157.224528094,208.283292701,70.923098643,149.738637105,35.39610715,65.403193219,0.0,306.680816421,279.907751062
Gangwon,74.988553926,102.042442545,93.076184109,173.406855389,161.069869522,140.508674718,165.327382487,313.04294248,236.1772264,359.634602027,236.995471422,160.993387069,323.958442146,296.499928233,306.680816421,0.0,501.335194747
Jeju,455.485546245,441.502293367,423.405857164,328.270184079,340.300111202,361.420109637,352.874550422,188.6182268,265.177478814,147.604072721,327.352267727,388.853823126,302.182454953,344.083364766,279.907751062,501.335194747,0.0
