Province,Municipality,general_account_expenditure,special_account_expenditure
Seoul,Jongno-gu,521497521390,27907715380
Seoul,Jung-gu,551785352785,19084601124
Seoul,Yongsan-gu,590289841990,11843598930
Seoul,Seongdong-gu,725348251920,22022719730
Seoul,Gwangjin-gu,769878677810,10768220417
Seoul,Dongdaemun-gu,839459101560,9362099540
Seoul,Jungnang-gu,1000407818072,13604206740
Seoul,Seongbuk-gu,987223997116,13099786677
Seoul,Gangbuk-gu,839241041078,11413969630
Seoul,Dobong-gu,824333602491,15180786531
Seoul,Nowon-gu,1296225541405,12058286950
Seoul,Eunpyeong-gu,1070007759745,9723750121
Seoul,Seodaemun-gu,772718018860,7985586860
Seoul,Mapo-gu,818941892160,28950789775
Seoul,Yangcheon-gu,915974340913,11450382742
Seoul,Gangseo-gu,1262748705170,19374586370
Seoul,Guro-gu,958325312802,12277542210
Seoul,Geumcheon-gu,675105780094,11381218740
Seoul,Yeongdeungpo-gu,869476230669,17956652839
Seoul,Dongjak-gu,834384499384,17378227537
Seoul,Gwanak-gu,1034951840128,12466996061
Seoul,Seocho-gu,839203268026,11004639500
Seoul,Gangnam-gu,1222673553402,34029773326
Seoul,Songpa-gu,1150635402930,15338750091
Seoul,Gangdong-gu,948434492184,17809555410
Incheon,Jung-gu,407856897784,8224474338
Incheon,Dong-gu,271540996093,1024187428
Incheon,Michuhol-gu,878100683231,11315985425
Incheon,Yeonsu-gu,625331538099,12557956379
Incheon,Namdong-gu,944298375323,11807773700
Incheon,Bupyeong-gu,928285556472,22826724402
Incheon,Gyeyang-gu,562449040597,31095819590
Incheon,Seo-gu,947991444731,59324945391
Incheon,Ganghwa-gun,632528330091,1306715090
Incheon,Ongjin-gun,354297396270,35056117790
Gyeonggi,Suwon-si,3101183029702,437555916744
Gyeonggi,Seongnam-si,3054582636951,482488908600
Gyeonggi,Uijeongbu-si,1302156244997,177887361459
Gyeonggi,Anyang-si,1467077501204,317546877430
Gyeonggi,Bucheon-si,2004585695641,450408704463
Gyeonggi,Gwangmyeong-si,855607039590,117142854992
Gyeonggi,Pyeongtaek-si,1941102455620,398611141407
Gyeonggi,Dongducheon-si,477499422290,48757690580
Gyeonggi,Ansan-si,1953900772215,233798744363
Gyeonggi,Goyang-si,2819280075120,348264522160
Gyeonggi,Gwacheon-si,347371883470,403610044160
Gyeonggi,Guri-si,622410412690,92077767760
Gyeonggi,Namyangju-si,1993239183595,293092378336
Gyeonggi,Osan-si,702608878916,91362590503
Gyeonggi,Siheung-si,1481079826590,321744065017
Gyeonggi,Gunpo-si,771263348550,99907137202
Gyeonggi,Uiwang-si,495986883931,50573166558
Gyeonggi,Hanam-si,789093193574,83438085660
Gyeonggi,Yongin-si,2708490476436,327286160347
Gyeonggi,Paju-si,1583622668030,200480057510
Gyeonggi,Icheon-si,1006682792138,112245883725
Gyeonggi,Anseong-si,1027336340975,63338614160
Gyeonggi,Gimpo-si,1366663603790,365917924110
Gyeonggi,Hwaseong-si,2787857103889,311590285989
Gyeonggi,Gwangju-si,1234795673645,232820548816
Gyeonggi,Yangju-si,911864045870,149949382996
Gyeonggi,Pocheon-si,930833110950,131996933380
Gyeonggi,Yeoju-si,785936701855,230750958590
Gyeonggi,Yeoncheon-gun,593008131025,78750855250
Gyeonggi,Gapyeong-gun,500851034371,74314920670
Gyeonggi,Yangpyeong-gun,709378436044,186710939540
Daejeon,Dong-gu,624513079760,11906270290
Daejeon,Jung-gu,571096769863,11530077949
Daejeon,Seo-gu,904024599599,31000406442
Daejeon,Yuseong-gu,693247666550,9644380840
Daejeon,Daedeok-gu,518580714202,6308663032
Sejong,Sejong-si,1421693865176,260175314869
Chungbuk,Cheongju-si,2753023109310,280254793108
Chungbuk,Chungju-si,1166460156626,138249285260
Chungbuk,Jecheon-si,935708487730,101299747770
Chungbuk,Boeun-gun,453480175310,39429702840
Chungbuk,Okcheon-gun,472196178630,105120561750
Chungbuk,Yeongdong-gun,540013195000,88181280790
Chungbuk,Jeungpyeong-gun,241683889120,20492065340
Chungbuk,Jincheon-gun,514936254310,65253545930
Chungbuk,Goesan-gun,566360817330,24368250540
Chungbuk,Eumseong-gun,675125241229,61030624566
Chungbuk,Danyang-gun,394629574740,26438710820
Chungnam,Cheonan-si,2041820280779,304930710807
Chungnam,Gongju-si,868989857920,121549481126
Chungnam,Boryeong-si,889992375321,103675161814
Chungnam,Asan-si,1308815659465,240199016706
Chungnam,Seosan-si,953943647415,118646258526
Chungnam,Nonsan-si,826279378730,109055793330
Chungnam,Gyeryong-si,220834492812,28890722638
Chungnam,Dangjin-si,1011646623004,116768548574
Chungnam,Geumsan-gun,553829434770,54070112490
Chungnam,Buyeo-gun,773894900172,75208283717
Chungnam,Seocheon-gun,581536535156,36649344220
Chungnam,Cheongyang-gun,414391286988,8062764080
Chungnam,Hongseong-gun,667975190999,46142514615
Chungnam,Yesan-gun,725887670568,21442666336
Chungnam,Taean-gun,593011667627,93937131250
Gwangju,Dong-gu,388750051685,20420555550
Gwangju,Seo-gu,679863393060,6978589862
Gwangju,Nam-gu,587542415796,3680054202
Gwangju,Buk-gu,1021149410111,11267816710
Gwangju,Gwangsan-gu,945058853468,16626008600
Jeonbuk,Jeonju-si,2085056099749,241066837439
Jeonbuk,Gunsan-si,1391014917553,142178666882
Jeonbuk,Iksan-si,1408664384649,146475252729
Jeonbuk,Jeongeup-si,966214985452,73860422790
Jeonbuk,Namwon-si,884357039415,55861955763
Jeonbuk,Gimje-si,935561010558,66904442650
Jeonbuk,Wanju-gun,751559629840,17618885970
Jeonbuk,Jinan-gun,417607802550,67001583560
Jeonbuk,Muju-gun,385797306667,52525493907
Jeonbuk,Jangsu-gun,391505170176,40473448779
Jeonbuk,Imsil-gun,457096571521,35139740273
Jeonbuk,Sunchang-gun,435510239630,15135213310
Jeonbuk,Gochang-gun,703716050428,26134134634
Jeonbuk,Buan-gun,643484819820,26751421750
Jeonnam,Mokpo-si,938532615376,97288728545
Jeonnam,Yeosu-si,1310567554501,249593010305
Jeonnam,Suncheon-si,1284105281525,102002016290
Jeonnam,Naju-si,868844076560,77679757000
Jeonnam,Gwangyang-si,912322251746,261354607730
Jeonnam,Damyang-gun,498583825441,15533336480
Jeonnam,Gokseong-gun,438331310861,20498556200
Jeonnam,Gurye-gun,355075357172,4949176390
Jeonnam,Goheung-gun,831773591177,16817596320
Jeonnam,Boseong-gun,568007314419,41145015148
Jeonnam,Hwasun-gun,627721355949,83520928510
Jeonnam,Jangheung-gun,505039788263,10020467420
Jeonnam,Gangjin-gun,485235013613,4628908920
Jeonnam,Haenam-gun,868293213090,27947839580
Jeonnam,Yeongam-gun,589382160940,50646737330
Jeonnam,Muan-gun,669679607880,17930037380
Jeonnam,Hampyeong-gun,450259623950,18407933427
Jeonnam,Yeonggwang-gun,545581278831,65536444349
Jeonnam,Jangseong-gun,467780553620,5969669500
Jeonnam,Wando-gun,579115359882,23461870490
Jeonnam,Jindo-gun,461475547570,10270961380
Jeonnam,Sinan-gun,764044533700,43813495700
Daegu,Jung-gu,347216574436,374753490
Daegu,Dong-gu,887206158698,9426744998
Daegu,Seo-gu,535339796176,2744428103
Daegu,Nam-gu,492359038862,8334802325
Daegu,Buk-gu,961044955249,8490884365
Daegu,Suseong-gu,931425702340,6649349468
Daegu,Dalseo-gu,1169123252899,8682517584
Daegu,Dalseong-gun,980527230644,1449651261
Gyeongbuk,Pohang-si,2162878335622,307458522919
Gyeongbuk,Gyeongju-si,1390815338641,150047151254
Gyeongbuk,Gimcheon-si,978692818254,95718631624
Gyeongbuk,Andong-si,1206308501050,100305093461
Gyeongbuk,Gumi-si,1367653812532,161644650170
Gyeongbuk,Yeongju-si,799372379166,75599143825
Gyeongbuk,Yeongcheon-si,851390102554,84142866968
Gyeongbuk,Sangju-si,1033956032599,81395297348
Gyeongbuk,Mungyeong-si,689660761889,76481114045
Gyeongbuk,Gyeongsan-si,1231073345972,108166227225
Gyeongbuk,Gunwi-gun,377560472187,8945691560
Gyeongbuk,Uiseong-gun,657754333630,53573413850
Gyeongbuk,Cheongsong-gun,383348609940,36069806600
Gyeongbuk,Yeongyang-gun,314267279691,20155242590
Gyeongbuk,Yeongdeok-gun,551354973501,23551673373
Gyeongbuk,Cheongdo-gun,440621494719,23294444132
Gyeongbuk,Goryeong-gun,343712572400,13194166890
Gyeongbuk,Seongju-gun,489973992080,63113086200
Gyeongbuk,Chilgok-gun,545864833320,69998492350
Gyeongbuk,Yecheon-gun,520031129162,51996640492
Gyeongbuk,Bonghwa-gun,476178041565,25584861040
Gyeongbuk,Uljin-gun,597294789311,177778959150
Gyeongbuk,Ulleung-gun,206093632978,2602615610
Busan,Jung-gu,197767788320,27262991030
Busan,Seo-gu,371564477330,9126348971
Busan,Dong-gu,336872668680,5425351510
Busan,Yeongdo-gu,393907260690,8967849630
Busan,Busanjin-gu,781193278810,9958543510
Busan,Dongnae-gu,556245039810,4971702480
Busan,Nam-gu,587721620840,11248204730
Busan,Buk-gu,667795270140,17838624270
Busan,Haeundae-gu,867060766520,9652514900
Busan,Saha-gu,763025486780,10890392040
Busan,Geumjeong-gu,567068597830,9772316665
Busan,Gangseo-gu,451646599297,34401413670
Busan,Yeonje-gu,474020573110,10917947090
Busan,Suyeong-gu,419921322390,5244726660
Busan,Sasang-gu,536729237220,3924700130
Busan,Gijang-gun,636947160342,55419462440
Ulsan,Jung-gu,475803170161,6093344446
Ulsan,Nam-gu,624065229012,13161981206
Ulsan,Dong-gu,328353120047,3434489260
Ulsan,Buk-gu,492784583114,4186862686
Ulsan,Ulju-gun,931253228291,49476249270
Gyeongnam,Changwon-si,3383360686474,624517427313
Gyeongnam,Jinju-si,1495919735710,243200321449
Gyeongnam,Tongyeong-si,747806604790,29595528390
Gyeongnam,Sacheon-si,717620087359,56144800944
Gyeongnam,Gimhae-si,1731691955873,253945903605
Gyeongnam,Miryang-si,852238201583,79801803810
Gyeongnam,Geoje-si,999299323885,99955812748
Gyeongnam,Yangsan-si,1256330290526,101982808819
Gyeongnam,Uiryeong-gun,373076101328,60132828213
Gyeongnam,Haman-gun,523194928739,69712668464
Gyeongnam,Changnyeong-gun,556104095209,25667896592
Gyeongnam,Goseong-gun,570074393869,36423748239
Gyeongnam,Namhae-gun,464046242361,105053646030
Gyeongnam,Hadong-gun,523416460343,87865382300
Gyeongnam,Sancheong-gun,487227787750,24879024550
Gyeongnam,Hamyang-gun,523330968494,15697866230
Gyeongnam,Geochang-gun,570568699723,49055987570
Gyeongnam,Hapcheon-gun,629129879814,32996714932
