Province,Municipality,GRDP
Seoul,Jongno-gu,33893980
Seoul,Jung-gu,56070505
Seoul,Yongsan-gu,12824348
Seoul,Seongdong-gu,12422960
Seoul,Gwangjin-gu,6451227
Seoul,Dongdaemun-gu,7399775
Seoul,Jungnang-gu,4750297
Seoul,Seongbuk-gu,6193208
Seoul,Gangbuk-gu,3356956
Seoul,Dobong-gu,3499358
Seoul,Nowon-gu,6438328
Seoul,Eunpyeong-gu,5076529
Seoul,Seodaemun-gu,8611066
Seoul,Mapo-gu,20199596
Seoul,Yangcheon-gu,7012123
Seoul,Gangseo-gu,16811352
Seoul,Guro-gu,13924846
Seoul,Geumcheon-gu,17221771
Seoul,Yeongdeungpo-gu,39433365
Seoul,Dongjak-gu,6650824
Seoul,Gwanak-gu,6138754
Seoul,Seocho-gu,36249662
Seoul,Gangnam-gu,74260359
Seoul,Songpa-gu,30336592
Seoul,Gangdong-gu,9317128
Incheon,Jung-gu,12181626
Incheon,Dong-gu,3656940
Incheon,Michuhol-gu,7697533
Incheon,Yeonsu-gu,11845543
Incheon,Namdong-gu,16456077
Incheon,Bupyeong-gu,10681732
Incheon,Gyeyang-gu,4830032
Incheon,Seo-gu,19760013
Incheon,Ganghwa-gun,1628866
Incheon,Ongjin-gun,877102
Gyeonggi,Suwon-si,33039311
Gyeonggi,Seongnam-si,46784997
Gyeonggi,Uijeongbu-si,7326448
Gyeonggi,Anyang-si,17825677
Gyeonggi,Bucheon-si,17881348
Gyeonggi,Gwangmyeong-si,7961842
Gyeonggi,Pyeongtaek-si,31581914
Gyeonggi,Dongducheon-si,1779431
Gyeonggi,Ansan-si,24577341
Gyeonggi,Goyang-si,21759387
Gyeonggi,Gwacheon-si,4338028
Gyeonggi,Guri-si,3452293
Gyeonggi,Namyangju-si,12682583
Gyeonggi,Osan-si,5586906
Gyeonggi,Siheung-si,16762049
Gyeonggi,Gunpo-si,7252421
Gyeonggi,Uiwang-si,3972027
Gyeonggi,Hanam-si,7503165
Gyeonggi,Yongin-si,33330635
Gyeonggi,Paju-si,20991130
Gyeonggi,Icheon-si,24780056
Gyeonggi,Anseong-si,9758935
Gyeonggi,Gimpo-si,14369720
Gyeonggi,Hwaseong-si,81880205
Gyeonggi,Gwangju-si,10082476
