Province,Municipality,Population
Seoul,Jongno-gu,149384
Seoul,Jung-gu,125240
Seoul,Yongsan-gu,230040
Seoul,Seongdong-gu,293556
Seoul,Gwangjin-gu,346682
Seoul,Dongdaemun-gu,342837
Seoul,Jungnang-gu,394702
Seoul,Seongbuk-gu,437153
Seoul,Gangbuk-gu,308055
Seoul,Dobong-gu,325257
Seoul,Nowon-gu,523037
Seoul,Eunpyeong-gu,479835
Seoul,Seodaemun-gu,312173
Seoul,Mapo-gu,371890
Seoul,Yangcheon-gu,454251
Seoul,Gangseo-gu,580185
Seoul,Guro-gu,404408
Seoul,Geumcheon-gu,231733
Seoul,Yeongdeungpo-gu,379480
Seoul,Dongjak-gu,391220
Seoul,Gwanak-gu,495060
Seoul,Seocho-gu,425126
Seoul,Gangnam-gu,539231
Seoul,Songpa-gu,667960
Seoul,Gangdong-gu,459970
Incheon,Jung-gu,139729
Incheon,Dong-gu,62542
Incheon,Michuhol-gu,404343
Incheon,Yeonsu-gu,387450
Incheon,Namdong-gu,525354
Incheon,Bupyeong-gu,494962
Incheon,Gyeyang-gu,296750
Incheon,Seo-gu,542040
Incheon,Ganghwa-gun,69203
Incheon,Ongjin-gun,20455
Gyeonggi,Suwon-si,1186078
Gyeonggi,Seongnam-si,940064
Gyeonggi,Uijeongbu-si,461710
Gyeonggi,Anyang-si,550027
Gyeonggi,Bucheon-si,818383
Gyeonggi,Gwangmyeong-si,298599
Gyeonggi,Pyeongtaek-si,537307
Gyeonggi,Dongducheon-si,94353
Gyeonggi,Ansan-si,654915
Gyeonggi,Goyang-si,1079216
Gyeonggi,Gwacheon-si,63231
Gyeonggi,Guri-si,197454
Gyeonggi,Namyangju-si,713321
Gyeonggi,Osan-si,229725
Gyeonggi,Siheung-si,500895
Gyeonggi,Gunpo-si,273791
Gyeonggi,Uiwang-si,163795
Gyeonggi,Hanam-si,293452
Gyeonggi,Yongin-si,1074176
Gyeonggi,Paju-si,465617
Gyeonggi,Icheon-si,218388
Gyeonggi,Anseong-si,187012
Gyeonggi,Gimpo-si,473970
Gyeonggi,Hwaseong-si,855248
Gyeonggi,Gwangju-si,382054
Gyeonggi,Yangju-si,230359
Gyeonggi,Pocheon-si,147274
Gyeonggi,Yeoju-si,111897
Gyeonggi,Yeoncheon-gun,43516
Gyeonggi,Gapyeong-gun,62377
Gyeonggi,Yangpyeong-gun,118810
Daejeon,Dong-gu,223021
Daejeon,Jung-gu,235550
Daejeon,Seo-gu,477880
Daejeon,Yuseong-gu,351047
Daejeon,Daedeok-gu,176384
Sejong,Sejong-si,355831
Chungbuk,Cheongju-si,844993
Chungbuk,Chungju-si,210186
Chungbuk,Jecheon-si,133018
Chungbuk,Boeun-gun,32412
Chungbuk,Okcheon-gun,50527
Chungbuk,Yeongdong-gun,47475
Chungbuk,Jeungpyeong-gun,36807
Chungbuk,Jincheon-gun,83718
Chungbuk,Goesan-gun,39393
Chungbuk,Eumseong-gun,93153
Chungbuk,Danyang-gun,29155
Chungnam,Cheonan-si,658808
Chungnam,Gongju-si,104545
Chungnam,Boryeong-si,100229
Chungnam,Asan-si,316129
Chungnam,Seosan-si,175591
Chungnam,Nonsan-si,116675
Chungnam,Gyeryong-si,42822
Chungnam,Dangjin-si,166249
Chungnam,Geumsan-gun,51413
Chungnam,Buyeo-gun,65354
Chungnam,Seocheon-gun,51866
Chungnam,Cheongyang-gun,30948
Chungnam,Hongseong-gun,100102
Chungnam,Yesan-gun,78084
Chungnam,Taean-gun,62214
Gwangju,Dong-gu,102897
Gwangju,Seo-gu,296576
Gwangju,Nam-gu,214579
Gwangju,Buk-gu,430431
Gwangju,Gwangsan-gu,405579
Jeonbuk,Jeonju-si,657432
Jeonbuk,Gunsan-si,267859
Jeonbuk,Iksan-si,282276
Jeonbuk,Jeongeup-si,108508
Jeonbuk,Namwon-si,80662
Jeonbuk,Gimje-si,82450
Jeonbuk,Wanju-gun,91609
Jeonbuk,Jinan-gun,25394
Jeonbuk,Muju-gun,24036
Jeonbuk,Jangsu-gun,22085
Jeonbuk,Imsil-gun,27314
Jeonbuk,Sunchang-gun,27810
Jeonbuk,Gochang-gun,54529
Jeonbuk,Buan-gun,52140
Jeonnam,Mokpo-si,224044
Jeonnam,Yeosu-si,280242
Jeonnam,Suncheon-si,282189
Jeonnam,Naju-si,115613
Jeonnam,Gwangyang-si,151769
Jeonnam,Damyang-gun,46280
Jeonnam,Gokseong-gun,28039
Jeonnam,Gurye-gun,25719
Jeonnam,Goheung-gun,63922
Jeonnam,Boseong-gun,40482
Jeonnam,Hwasun-gun,62522
Jeonnam,Jangheung-gun,37800
Jeonnam,Gangjin-gun,34597
Jeonnam,Haenam-gun,68806
Jeonnam,Yeongam-gun,53699
Jeonnam,Muan-gun,86132
Jeonnam,Hampyeong-gun,32050
Jeonnam,Yeonggwang-gun,53099
Jeonnam,Jangseong-gun,44464
Jeonnam,Wando-gun,49916
Jeonnam,Jindo-gun,31227
Jeonnam,Sinan-gun,38938
Daegu,Jung-gu,76547
Daegu,Dong-gu,341920
Daegu,Seo-gu,170700
Daegu,Nam-gu,146632
Daegu,Buk-gu,440263
Daegu,Suseong-gu,424314
Daegu,Dalseo-gu,558631
Daegu,Dalseong-gun,259339
Gyeongbuk,Pohang-si,502916
Gyeongbuk,Gyeongju-si,253502
Gyeongbuk,Gimcheon-si,140548
Gyeongbuk,Andong-si,158907
Gyeongbuk,Gumi-si,416328
Gyeongbuk,Yeongju-si,103119
Gyeongbuk,Yeongcheon-si,102015
Gyeongbuk,Sangju-si,97228
Gyeongbuk,Mungyeong-si,71406
Gyeongbuk,Gyeongsan-si,263728
Gyeongbuk,Gunwi-gun,23256
Gyeongbuk,Uiseong-gun,51724
Gyeongbuk,Cheongsong-gun,25044
Gyeongbuk,Yeongyang-gun,16692
Gyeongbuk,Yeongdeok-gun,36313
Gyeongbuk,Cheongdo-gun,42263
Gyeongbuk,Goryeong-gun,31361
Gyeongbuk,Seongju-gun,43414
Gyeongbuk,Chilgok-gun,114758
Gyeongbuk,Yecheon-gun,55613
Gyeongbuk,Bonghwa-gun,31494
Gyeongbuk,Uljin-gun,48716
Gyeongbuk,Ulleung-gun,9077
Busan,Jung-gu,41523
Busan,Seo-gu,108135
Busan,Dong-gu,88901
Busan,Yeongdo-gu,113342
Busan,Busanjin-gu,359886
Busan,Dongnae-gu,270745
Busan,Nam-gu,267731
Busan,Buk-gu,283952
Busan,Haeundae-gu,402169
Busan,Saha-gu,311757
Busan,Geumjeong-gu,232666
Busan,Gangseo-gu,137957
Busan,Yeonje-gu,209157
Busan,Suyeong-gu,176894
Busan,Sasang-gu,212586
Busan,Gijang-gun,174545
Ulsan,Jung-gu,217595
Ulsan,Nam-gu,320064
Ulsan,Dong-gu,156806
Ulsan,Buk-gu,219014
Ulsan,Ulju-gun,222538
