ID,Province,Municipality,GRDP
1,Seoul,Jongno-gu,33893980
2,Seoul,Jung-gu,56070505
3,Seoul,Yongsan-gu,12824348
4,Seoul,Seongdong-gu,12422960
5,Seoul,Gwangjin-gu,6451227
6,Seoul,Dongdaemun-gu,7399775
7,Seoul,Jungnang-gu,4750297
8,Seoul,Seongbuk-gu,6193208
9,Seoul,Gangbuk-gu,3356956
10,Seoul,Dobong-gu,3499358
11,Seoul,Nowon-gu,6438328
12,Seoul,Eunpyeong-gu,5076529
13,Seoul,Seodaemun-gu,8611066
14,Seoul,Mapo-gu,20199596
15,Seoul,Yangcheon-gu,7012123
16,Seoul,Gangseo-gu,16811352
17,Seoul,Guro-gu,13924846
18,Seoul,Geumcheon-gu,17221771
19,Seoul,Yeongdeungpo-gu,39433365
20,Seoul,Dongjak-gu,6650824
21,Seoul,Gwanak-gu,6138754
22,Seoul,Seocho-gu,36249662
23,Seoul,Gangnam-gu,74260359
24,Seoul,Songpa-gu,30336592
25,Seoul,Gangdong-gu,9317128
26,Incheon,Jung-gu,12181626
27,Incheon,Dong-gu,3656940
28,Incheon,Michuhol-gu,7697533
29,Incheon,Yeonsu-gu,11845543
30,Incheon,Namdong-gu,16456077
31,Incheon,Bupyeong-gu,10681732
32,Incheon,Gyeyang-gu,4830032
33,Incheon,Seo-gu,19760013
34,Incheon,Ganghwa-gun,1628866
35,Incheon,Ongjin-gun,877102
36,Gyeonggi,Suwon-si,33039311
37,Gyeonggi,Seongnam-si,46784997
38,Gyeonggi,Uijeongbu-si,7326448
39,Gyeonggi,Anyang-si,17825677
40,Gyeonggi,Bucheon-si,17881348
41,Gyeonggi,Gwangmyeong-si,7961842
42,Gyeonggi,Pyeongtaek-si,31581914
43,Gyeonggi,Dongducheon-si,1779431
44,Gyeonggi,Ansan-si,24577341
45,Gyeonggi,Goyang-si,21759387
46,Gyeonggi,Gwacheon-si,4338028
47,Gyeonggi,Guri-si,3452293
48,Gyeonggi,Namyangju-si,12682583
49,Gyeonggi,Osan-si,5586906
50,Gyeonggi,Siheung-si,16762049
51,Gyeonggi,Gunpo-si,7252421
52,Gyeonggi,Uiwang-si,3972027
53,Gyeonggi,Hanam-si,7503165
54,Gyeonggi,Yongin-si,33330635
55,Gyeonggi,Paju-si,20991130
56,Gyeonggi,Icheon-si,24780056
57,Gyeonggi,Anseong-si,9758935
58,Gyeonggi,Gimpo-si,14369720
59,Gyeonggi,Hwaseong-si,81880205
60,Gyeonggi,Gwangju-si,10082476
61,Gyeonggi,Yangju-si,6847177
62,Gyeonggi,Pocheon-si,7208193
63,Gyeonggi,Yeoju-si,4279906
64,Gyeonggi,Yeoncheon-gun,1767565
65,Gyeonggi,Gapyeong-gun,1836107
66,Gyeonggi,Yangpyeong-gun,2099063
67,Daejeon,Dong-gu,3691248
68,Daejeon,Jung-gu,4928620
69,Daejeon,Seo-gu,12716392
70,Daejeon,Yuseong-gu,15343406
71,Daejeon,Daedeok-gu,7713470
72,Sejong,Sejong-si,14005902
73,Chungbuk,Cheongju-si,34817445
74,Chungbuk,Chungju-si,7779481
75,Chungbuk,Jecheon-si,3185810
76,Chungbuk,Boeun-gun,1167227
77,Chungbuk,Okcheon-gun,1432414
78,Chungbuk,Yeongdong-gun,1129317
79,Chungbuk,Jeungpyeong-gun,1187456
80,Chungbuk,Jincheon-gun,7936249
81,Chungbuk,Goesan-gun,1498780
82,Chungbuk,Eumseong-gun,8284106
83,Chungbuk,Danyang-gun,1165485
84,Chungnam,Cheonan-si,26111315
85,Chungnam,Gongju-si,3762849
86,Chungnam,Boryeong-si,4190195
87,Chungnam,Asan-si,29923576
88,Chungnam,Seosan-si,15843904
89,Chungnam,Nonsan-si,4439047
90,Chungnam,Gyeryong-si,1719448
91,Chungnam,Dangjin-si,11733515
92,Chungnam,Geumsan-gun,2359964
93,Chungnam,Buyeo-gun,1980356
94,Chungnam,Seocheon-gun,2292178
95,Chungnam,Cheongyang-gun,1248541
96,Chungnam,Hongseong-gun,3512347
97,Chungnam,Yesan-gun,3537211
98,Chungnam,Taean-gun,2876612
99,Gwangju,Dong-gu,3618618
100,Gwangju,Seo-gu,10465189
101,Gwangju,Nam-gu,3237215
102,Gwangju,Buk-gu,10745223
103,Gwangju,Gwangsan-gu,14002138
104,Jeonbuk,Jeonju-si,15656658
105,Jeonbuk,Gunsan-si,9357449
106,Jeonbuk,Iksan-si,8221353
107,Jeonbuk,Jeongeup-si,3236457
108,Jeonbuk,Namwon-si,1782256
109,Jeonbuk,Gimje-si,3088783
110,Jeonbuk,Wanju-gun,4781760
111,Jeonbuk,Jinan-gun,670017
112,Jeonbuk,Muju-gun,745672
113,Jeonbuk,Jangsu-gun,553433
114,Jeonbuk,Imsil-gun,789158
115,Jeonbuk,Sunchang-gun,809283
116,Jeonbuk,Gochang-gun,1583028
117,Jeonbuk,Buan-gun,1545178
118,Jeonnam,Mokpo-si,4444220
119,Jeonnam,Yeosu-si,25733671
120,Jeonnam,Suncheon-si,6309237
121,Jeonnam,Naju-si,4976771
122,Jeonnam,Gwangyang-si,9979935
123,Jeonnam,Damyang-gun,1550518
124,Jeonnam,Gokseong-gun,1071222
125,Jeonnam,Gurye-gun,595953
126,Jeonnam,Goheung-gun,1604617
127,Jeonnam,Boseong-gun,1008572
128,Jeonnam,Hwasun-gun,1783722
129,Jeonnam,Jangheung-gun,1034038
130,Jeonnam,Gangjin-gun,953921
131,Jeonnam,Haenam-gun,2322251
132,Jeonnam,Yeongam-gun,3371718
133,Jeonnam,Muan-gun,3358212
134,Jeonnam,Hampyeong-gun,1092857
135,Jeonnam,Yeonggwang-gun,2187878
136,Jeonnam,Jangseong-gun,1977055
137,Jeonnam,Wando-gun,1262316
138,Jeonnam,Jindo-gun,882092
139,Jeonnam,Sinan-gun,1318376
140,Daegu,Jung-gu,5409289
141,Daegu,Dong-gu,7583912
142,Daegu,Seo-gu,3852826
143,Daegu,Nam-gu,3099186
144,Daegu,Buk-gu,10468227
145,Daegu,Suseong-gu,8389760
146,Daegu,Dalseo-gu,11708977
147,Daegu,Dalseong-gun,7213212
148,Gyeongbuk,Pohang-si,18620504
149,Gyeongbuk,Gyeongju-si,9921536
150,Gyeongbuk,Gimcheon-si,5654517
151,Gyeongbuk,Andong-si,6018724
152,Gyeongbuk,Gumi-si,27984001
153,Gyeongbuk,Yeongju-si,3038326
154,Gyeongbuk,Yeongcheon-si,3824513
155,Gyeongbuk,Sangju-si,2492442
156,Gyeongbuk,Mungyeong-si,1794902
157,Gyeongbuk,Gyeongsan-si,7997516
158,Gyeongbuk,Gunwi-gun,846953
159,Gyeongbuk,Uiseong-gun,1408077
160,Gyeongbuk,Cheongsong-gun,803523
161,Gyeongbuk,Yeongyang-gun,439126
162,Gyeongbuk,Yeongdeok-gun,928968
163,Gyeongbuk,Cheongdo-gun,1015755
164,Gyeongbuk,Goryeong-gun,1265197
165,Gyeongbuk,Seongju-gun,2071278
166,Gyeongbuk,Chilgok-gun,4584662
167,Gyeongbuk,Yecheon-gun,1150431
168,Gyeongbuk,Bonghwa-gun,1163777
169,Gyeongbuk,Uljin-gun,2468740
170,Gyeongbuk,Ulleung-gun,278041
171,Busan,Jung-gu,3551831
172,Busan,Seo-gu,3414621
173,Busan,Dong-gu,4098015
174,Busan,Yeongdo-gu,2762062
175,Busan,Busanjin-gu,8640684
176,Busan,Dongnae-gu,3989457
177,Busan,Nam-gu,6155947
178,Busan,Buk-gu,3031318
179,Busan,Haeundae-gu,9128828
180,Busan,Saha-gu,7040858
181,Busan,Geumjeong-gu,4367027
182,Busan,Gangseo-gu,13426281
183,Busan,Yeonje-gu,6323236
