,Seoul,Incheon,Gyeonggi,Daejeon,Sejong,Chungbuk,Chungnam,Gwangju,Jeonbuk,Jeonnam,Daegu,Gyeongbuk,Busan,Ulsan,Gyeongnam,Gangwon,Jeju
Seoul,0.0,37160.0,41641.0,162524.0,145047.0,136880.0,136468.0,297289.0,218072.0,348196.0,289746.0,238908.0,400990.0,374375.0,370396.0,101808.0,533768.0
Incheon,39684.0,0.0,43389.0,172559.0,156592.0,148425.0,117133.0,298852.0,222703.0,335140.0,301150.0,238886.0,412535.0,385779.0,381800.0,133161.0,521036.0
Gyeonggi,39610.0,42609.0,0.0,139025.0,116575.0,108408.0,97703.0,269803.0,185042.0,305653.0,264834.0,202570.0,371077.0,349463.0,345484.0,127881.0,491565.0
Daejeon,161437.0,175173.0,136911.0,0.0,21709.0,42188.0,87154.0,168572.0,84797.0,230935.0,152800.0,181029.0,259135.0,259856.0,233534.0,235546.0,415037.0
Sejong,143066.0,155826.0,112558.0,20733.0,0.0,34398.0,75031.0,179625.0,95850.0,241988.0,174303.0,172862.0,280638.0,269526.0,255037.0,221671.0,431720.0
Chungbuk,138908.0,154275.0,105735.0,40744.0,32316.0,0.0,100240.0,203207.0,119432.0,265570.0,166379.0,131780.0,272714.0,250738.0,247029.0,197299.0,449672.0
Chungnam,137566.0,118206.0,94108.0,89445.0,76307.0,100778.0,0.0,204225.0,132852.0,240513.0,238977.0,255302.0,345312.0,351966.0,319711.0,224712.0,426409.0
Gwangju,296890.0,295600.0,266462.0,168278.0,180894.0,205095.0,204287.0,0.0,95893.0,67525.0,211929.0,300738.0,260229.0,298602.0,226384.0,375920.0,253421.0
Jeonbuk,216415.0,221776.0,188675.0,87803.0,100419.0,123872.0,136664.0,95879.0,0.0,157820.0,194626.0,259132.0,256048.0,281343.0,222203.0,295445.0,342049.0
Jeonnam,347513.0,331713.0,305907.0,231310.0,241114.0,268260.0,240400.0,66798.0,159058.0,0.0,278046.0,368710.0,297375.0,343260.0,260916.0,426543.0,186397.0
Daegu,287521.0,300182.0,264618.0,152592.0,168261.0,166027.0,237674.0,211647.0,193206.0,278021.0,0.0,110834.0,109552.0,110406.0,96059.0,297451.0,463917.0
Gyeongbuk,225953.0,238614.0,203050.0,177288.0,170488.0,132768.0,254671.0,300851.0,260383.0,367225.0,105691.0,0.0,211415.0,191849.0,202925.0,205787.0,553121.0
Busan,394677.0,407338.0,371696.0,259750.0,275417.0,273183.0,344830.0,262932.0,257785.0,298628.0,109038.0,217309.0,0.0,51353.0,44592.0,403926.0,484092.0
Ulsan,372815.0,385476.0,349649.0,259290.0,268072.0,251175.0,344521.0,300597.0,282110.0,340753.0,108817.0,192914.0,57931.0,0.0,97342.0,379531.0,526321.0
Gyeongnam,369500.0,382161.0,346597.0,234562.0,248591.0,247996.0,319793.0,223332.0,217463.0,257244.0,96321.0,203340.0,43185.0,92271.0,0.0,389957.0,450294.0
Gangwon,108152.0,140997.0,134173.0,235052.0,224631.0,187078.0,223748.0,384991.0,300805.0,435487.0,298829.0,207294.0,398278.0,378712.0,389788.0,0.0,621383.0
Jeju,531733.0,515933.0,490127.0,415530.0,425334.0,451732.0,424620.0,251018.0,343278.0,186263.0,462266.0,551075.0,482900.0,525789.0,449169.0,610763.0,0.0
