,Seoul,Incheon,Gyeonggi,Daejeon,Sejong,Chungbuk,Chungnam,Gwangju,Jeonbuk,Jeonnam,Daegu,Gyeongbuk,Busan,Ulsan,Gyeongnam,Gangwon,Jeju
Seoul,0.0,44.285367,44.964467,108.38625,98.227067,96.3632,91.8103,178.728617,136.843683,203.51985,177.1095,150.567383,242.1395,229.4117,225.01345,79.555467,517.000717
Incheon,45.629683,0.0,44.357933,120.441317,106.407667,104.647067,82.225933,178.697167,146.882583,197.65955,184.52275,155.324817,251.0527,236.82555,232.383167,103.952783,510.546433
Gyeonggi,45.202383,44.491483,0.0,102.12145,89.970383,88.344,69.628233,168.562667,130.6665,188.307233,166.645883,137.993483,232.8713,218.828667,213.881617,94.45775,501.028967
Daejeon,109.984567,120.802017,100.974817,0.0,28.149433,48.489033,65.19825,109.796183,69.87295,144.443383,103.813767,118.012633,167.737683,171.11945,151.9132,159.51435,458.295217
Sejong,98.65685,112.6784,88.348933,29.239867,0.0,37.396967,56.457367,114.057933,73.569533,149.841267,112.674633,111.68855,177.776733,173.1889,165.2437,146.12535,460.34695
Chungbuk,101.378417,108.902217,88.00585,46.302933,35.21445,0.0,87.5879,134.278133,94.49235,168.855683,114.7832,107.062733,179.093833,166.89855,161.823767,135.332633,482.02445
Chungnam,93.3303,83.199483,71.7298,64.032667,56.35145,85.86325,0.0,123.815817,92.851567,143.056867,147.1915,153.161433,212.242883,214.774267,196.06555,143.784183,455.653483
Gwangju,179.484317,180.494183,169.445133,110.3314,115.574133,135.596267,123.6085,0.0,66.328567,45.837883,130.9586,179.61665,164.930117,190.778033,142.973133,230.01785,359.645467
Jeonbuk,134.12625,145.415333,122.9247,65.769133,70.653517,92.1777,87.91205,63.6319,0.0,98.920717,127.365233,157.43665,165.69865,184.482717,143.866933,183.76145,413.339
Jeonnam,208.968983,201.326083,188.775,147.3925,146.66745,173.38475,143.98345,45.525717,102.3115,0.0,174.25085,221.713467,183.423783,214.01415,167.31535,260.168017,324.045783
Daegu,175.559383,185.69515,164.019,102.053133,109.826733,115.648383,145.106567,131.594583,127.238967,171.288617,0.0,72.555783,78.475633,83.284917,73.282217,181.932517,484.170833
Gyeongbuk,146.506433,156.324083,134.9929,114.5565,110.42665,104.826483,153.449267,177.993217,160.825183,217.570283,73.377517,0.0,136.520983,123.78935,125.408133,135.786467,530.493367
Busan,242.99705,254.895167,228.272783,166.568233,173.624,179.526467,210.48835,165.099717,163.60395,186.0041,76.933833,136.573633,0.0,57.4934,41.5162,244.94195,502.280517
Ulsan,228.4335,240.187167,217.950467,166.941133,170.433067,165.86765,209.833083,186.597283,182.9147,209.682067,79.525633,123.067517,54.626517,0.0,73.0469,231.644633,529.896517
Gyeongnam,229.146933,244.72795,218.068967,152.18865,163.263817,166.299083,197.24225,142.4979,145.508933,165.542417,74.268283,126.5916,41.779133,76.315617,0.0,233.77265,483.285083
Gangwon,80.268067,103.66425,97.151283,155.714917,145.822367,136.448483,146.07745,234.688283,191.823483,256.3966,184.851867,135.915183,248.716017,234.2228,237.2493,0.0,570.185133
Jeju,521.334667,513.8564,500.763217,459.496217,459.0649,487.00905,456.482283,359.342617,415.497517,323.194383,486.143167,534.887417,505.5956,534.76505,485.87465,573.00165,0.0
