Province,Municipality,Sector
Gangwon,Goseong-gun,"Gas, steam, hot water supply"
Gangwon,Yanggu-gun,"Gas, steam, hot water supply"
Gangwon,Yangyang-gun,"Gas, steam, hot water supply"
Gangwon,Inje-gun,"Gas, steam, hot water supply"
Gangwon,Cheorwon-gun,"Gas, steam, hot water supply"
Gangwon,Taebaek-si,"Gas, steam, hot water supply"
Gangwon,Pyeongchang-gun,"Gas, steam, hot water supply"
Gyeonggi,Gapyeong-gun,"Gas, steam, hot water supply"
Gyeonggi,Gwacheon-si,"Gas, steam, hot water supply"
Gyeonggi,Guri-si,"Gas, steam, hot water supply"
Gyeonggi,Uiwang-si,"Gas, steam, hot water supply"
Gyeongnam,Namhae-gun,"Gas, steam, hot water supply"
Gyeongnam,Sancheong-gun,"Gas, steam, hot water supply"
Gyeongnam,Uiryeong-gun,"Gas, steam, hot water supply"
Gyeongnam,Hamyang-gun,"Gas, steam, hot water supply"
Gyeongnam,Hapcheon-gun,"Gas, steam, hot water supply"
Gyeongbuk,Goryeong-gun,"Gas, steam, hot water supply"
Gyeongbuk,Mungyeong-si,"Gas, steam, hot water supply"
Gyeongbuk,Bonghwa-gun,"Gas, steam, hot water supply"
Gyeongbuk,Sangju-si,"Gas, steam, hot water supply"
Gyeongbuk,Seongju-gun,"Gas, steam, hot water supply"
Gyeongbuk,Yeongyang-gun,"Gas, steam, hot water supply"
Gyeongbuk,Yecheon-gun,"Gas, steam, hot water supply"
Gyeongbuk,Ulleung-gun,"Gas, steam, hot water supply"
Gyeongbuk,Cheongsong-gun,"Gas, steam, hot water supply"
Gwangju,Dong-gu,"Gas, steam, hot water supply"
Daegu,Nam-gu,"Gas, steam, hot water supply"
Daegu,Suseong-gu,"Gas, steam, hot water supply"
Busan,Geumjeong-gu,"Gas, steam, hot water supply"
Busan,Dong-gu,"Gas, steam, hot water supply"
Busan,Busanjin-gu,"Gas, steam, hot water supply"
Busan,Buk-gu,"Gas, steam, hot water supply"
Busan,Yeonje-gu,"Gas, steam, hot water supply"
Busan,Yeongdo-gu,"Gas, steam, hot water supply"
Busan,Jung-gu,"Gas, steam, hot water supply"
Busan,Haeundae-gu,"Gas, steam, hot water supply"
Seoul,Gwanak-gu,"Gas, steam, hot water supply"
Seoul,Dongdaemun-gu,"Gas, steam, hot water supply"
Seoul,Seongbuk-gu,"Gas, steam, hot water supply"
Seoul,Songpa-gu,"Gas, steam, hot water supply"
Seoul,Jung-gu,"Gas, steam, hot water supply"
Ulsan,Dong-gu,"Gas, steam, hot water supply"
Incheon,Gyeyang-gu,"Gas, steam, hot water supply"
Incheon,Dong-gu,"Gas, steam, hot water supply"
Incheon,Ongjin-gun,"Gas, steam, hot water supply"
Jeonnam,Gangjin-gun,"Gas, steam, hot water supply"
Jeonnam,Goheung-gun,"Gas, steam, hot water supply"
Jeonnam,Damyang-gun,"Gas, steam, hot water supply"
Jeonnam,Sinan-gun,"Gas, steam, hot water supply"
Jeonnam,Wando-gun,"Gas, steam, hot water supply"
Jeonnam,Jindo-gun,"Gas, steam, hot water supply"
Jeonbuk,Jangsu-gun,"Gas, steam, hot water supply"
Jeju,Seogwipo-si,"Gas, steam, hot water supply"
Chungnam,Taean-gun,"Gas, steam, hot water supply"
Chungbuk,Danyang-gun,"Gas, steam, hot water supply"
Chungbuk,Boeun-gun,"Gas, steam, hot water supply"
Chungbuk,Yeongdong-gun,"Gas, steam, hot water supply"
Chungbuk,Jeungpyeong-gun,"Gas, steam, hot water supply"
Gangwon,Goseong-gun,Leather products 
Gangwon,Yanggu-gun,Leather products 
Gangwon,Yangyang-gun,Leather products 
